case_id,activity,resource,timestamp
Case 1589,take in charge ticket,Value 2,2010-05-17 15:41:42
Case 1589,resolve ticket,Value 2,2010-05-20 08:42:23
Case 1589,closed,Value 5,2010-06-04 08:42:39
Case 159,assign seriousness,Value 1,2011-09-21 07:12:16
Case 159,take in charge ticket,Value 13,2011-09-21 07:46:44
Case 159,resolve ticket,Value 13,2011-09-27 13:20:30
Case 159,closed,Value 5,2011-10-22 07:21:38
Case 1590,assign seriousness,Value 8,2011-01-28 11:31:22
Case 1590,take in charge ticket,Value 9,2011-02-04 16:36:54
Case 1590,resolve ticket,Value 9,2011-02-07 15:01:39
Case 1590,closed,Value 5,2011-03-13 11:40:23
Case 1591,assign seriousness,Value 4,2012-05-15 08:12:50
Case 1591,take in charge ticket,Value 4,2012-05-15 08:13:09
Case 1591,resolve ticket,Value 4,2012-05-15 09:50:17
Case 1591,closed,Value 5,2012-06-30 08:20:41
Case 1592,assign seriousness,Value 1,2012-06-05 13:12:47
Case 1592,take in charge ticket,Value 1,2012-06-05 13:12:54
Case 1592,wait,Value 1,2012-06-05 13:22:26
Case 1592,resolve ticket,Value 1,2012-06-26 10:30:23
Case 1592,closed,Value 5,2012-07-11 10:30:42
Case 1593,assign seriousness,Value 2,2010-09-01 15:03:24
Case 1593,take in charge ticket,Value 14,2010-09-10 15:20:12
Case 1593,resolve ticket,Value 14,2010-09-21 08:51:40
Case 1593,closed,Value 5,2010-10-06 08:51:59
Case 1594,assign seriousness,Value 2,2010-04-13 09:52:20
Case 1594,take in charge ticket,Value 2,2010-04-13 14:33:13
Case 1594,resolve ticket,Value 2,2010-04-13 14:33:17
Case 1594,take in charge ticket,Value 2,2010-04-13 14:34:02
Case 1594,create sw anomaly,Value 2,2010-04-13 14:34:05
Case 1594,resolve ticket,Value 2,2010-04-13 14:34:09
Case 1594,take in charge ticket,Value 2,2010-04-13 14:34:31
Case 1594,create sw anomaly,Value 2,2010-04-13 14:34:35
Case 1594,resolve ticket,Value 2,2010-04-13 14:34:46
Case 1594,closed,Value 5,2010-05-27 10:00:22
Case 1595,assign seriousness,Value 2,2010-12-10 09:53:14
Case 1595,take in charge ticket,Value 2,2010-12-13 09:21:25
Case 1595,wait,Value 2,2010-12-13 10:29:12
Case 1595,take in charge ticket,Value 2,2010-12-14 14:56:01
Case 1595,wait,Value 2,2010-12-14 15:36:26
Case 1595,take in charge ticket,Value 2,2010-12-27 08:26:15
Case 1595,resolve ticket,Value 2,2010-12-27 08:26:37
Case 1595,closed,Value 5,2011-01-25 16:20:17
Case 1596,assign seriousness,Value 13,2012-03-15 15:39:13
Case 1596,take in charge ticket,Value 13,2012-03-16 16:28:29
Case 1596,resolve ticket,Value 13,2012-03-19 13:26:56
Case 1596,closed,Value 5,2012-05-06 14:40:39
Case 1597,assign seriousness,Value 14,2010-09-15 11:15:20
Case 1597,take in charge ticket,Value 14,2010-09-15 11:16:50
Case 1597,resolve ticket,Value 14,2010-09-15 11:17:05
Case 1597,closed,Value 5,2010-10-29 11:00:23
Case 1598,assign seriousness,Value 1,2012-01-26 11:20:22
Case 1598,take in charge ticket,Value 13,2012-01-26 11:58:23
Case 1598,resolve ticket,Value 9,2012-01-26 14:29:11
Case 1598,resolve ticket,Value 9,2012-01-26 14:29:12
Case 1598,closed,Value 5,2012-02-28 11:30:30
Case 1599,assign seriousness,Value 4,2012-02-03 11:25:26
Case 1599,take in charge ticket,Value 4,2012-02-09 08:15:34
Case 1599,resolve ticket,Value 4,2012-02-10 10:20:55
Case 1599,closed,Value 5,2012-03-22 11:30:36
Case 16,assign seriousness,Value 1,2012-02-22 14:16:52
Case 16,take in charge ticket,Value 9,2012-02-22 16:14:07
Case 16,take in charge ticket,Value 1,2012-02-22 16:23:57
Case 16,resolve ticket,Value 9,2012-02-23 09:47:38
Case 16,closed,Value 5,2012-03-24 14:20:19
Case 160,assign seriousness,Value 8,2011-02-25 10:55:02
Case 160,take in charge ticket,Value 8,2011-02-25 13:26:45
Case 160,resolve ticket,Value 8,2011-02-25 13:28:30
Case 160,closed,Value 5,2011-04-16 10:01:15
Case 1600,assign seriousness,Value 1,2011-10-24 09:55:40
Case 1600,take in charge ticket,Value 1,2011-10-24 09:56:20
Case 1600,resolve ticket,Value 1,2011-10-24 15:24:27
Case 1600,closed,Value 5,2011-12-09 11:00:49
Case 1601,assign seriousness,Value 1,2012-04-02 16:04:30
Case 1601,take in charge ticket,Value 12,2012-04-05 07:30:00
Case 1601,resolve ticket,Value 12,2012-04-05 16:03:45
Case 1601,closed,Value 5,2012-05-16 16:01:09
Case 1602,assign seriousness,Value 1,2012-03-21 14:50:05
Case 1602,take in charge ticket,Value 13,2012-03-22 13:24:03
Case 1602,resolve ticket,Value 13,2012-03-27 09:59:27
Case 1602,closed,Value 5,2012-04-21 14:00:28
Case 1603,assign seriousness,Value 1,2013-02-08 16:07:30
Case 1603,resolve ticket,Value 2,2013-02-25 13:18:45
Case 1603,resolve ticket,Value 2,2013-02-25 13:18:46
Case 1603,closed,Value 3,2013-03-12 13:19:08
Case 1604,assign seriousness,Value 1,2013-02-06 14:59:57
Case 1604,take in charge ticket,Value 1,2013-02-22 08:23:35
Case 1604,wait,Value 1,2013-02-22 13:46:07
Case 1604,resolve ticket,Value 1,2013-03-13 15:09:37
Case 1604,closed,Value 3,2013-03-28 15:09:54
Case 1605,assign seriousness,Value 1,2013-06-27 10:37:50
Case 1605,take in charge ticket,Value 2,2013-07-05 07:07:07
Case 1605,take in charge ticket,Value 4,2013-07-15 08:41:41
Case 1605,wait,Value 4,2013-07-15 08:50:15
Case 1605,resolve ticket,Value 4,2013-07-15 09:15:42
Case 1605,closed,Value 3,2013-07-30 09:15:57
Case 1606,assign seriousness,Value 9,2011-07-21 09:50:37
Case 1606,take in charge ticket,Value 9,2011-07-21 09:50:49
Case 1606,wait,Value 9,2011-07-21 09:57:29
Case 1606,resolve ticket,Value 9,2011-07-29 12:41:19
Case 1606,take in charge ticket,Value 9,2011-08-04 07:38:50
Case 1606,wait,Value 9,2011-08-04 08:19:41
Case 1606,resolve ticket,Value 9,2011-08-11 10:25:52
Case 1606,closed,Value 5,2011-08-26 10:26:07
Case 1607,assign seriousness,Value 2,2011-08-30 07:29:11
Case 1607,take in charge ticket,Value 2,2011-08-31 07:51:07
Case 1607,resolve ticket,Value 16,2011-09-07 13:59:36
Case 1607,closed,Value 5,2011-10-13 07:30:29
Case 1608,assign seriousness,Value 1,2011-11-23 13:05:45
Case 1608,take in charge ticket,Value 1,2011-11-23 13:05:54
Case 1608,resolve ticket,Value 1,2011-11-23 14:11:15
Case 1608,closed,Value 5,2011-12-24 13:14:10
Case 1609,assign seriousness,Value 14,2013-07-15 11:20:45
Case 1609,take in charge ticket,Value 1,2013-07-29 07:05:35
Case 1609,wait,Value 1,2013-07-29 10:10:32
Case 1609,resolve ticket,Value 4,2013-08-05 07:17:05
Case 1609,closed,Value 3,2013-08-20 07:17:28
Case 161,assign seriousness,Value 11,2010-08-10 07:16:09
Case 161,take in charge ticket,Value 11,2010-08-12 10:33:35
Case 161,resolve ticket,Value 11,2010-08-13 07:24:41
Case 161,closed,Value 5,2010-09-10 07:20:19
Case 1610,assign seriousness,Value 1,2013-04-23 10:46:27
Case 1610,take in charge ticket,Value 1,2013-05-08 07:56:51
Case 1610,resolve ticket,Value 1,2013-06-03 14:42:39
Case 1610,closed,Value 3,2013-06-18 14:42:59
Case 1611,assign seriousness,Value 8,2011-06-21 15:02:21
Case 1611,assign seriousness,Value 8,2011-06-21 15:12:11
Case 1611,take in charge ticket,Value 8,2011-06-22 12:53:59
Case 1611,resolve ticket,Value 8,2011-06-22 12:54:10
Case 1611,closed,Value 5,2011-08-18 15:10:26
Case 1612,assign seriousness,Value 2,2011-04-13 15:00:18
Case 1612,take in charge ticket,Value 2,2011-04-13 15:00:37
Case 1612,resolve ticket,Value 2,2011-04-14 15:31:17
Case 1612,closed,Value 5,2011-05-27 15:10:42
Case 1613,assign seriousness,Value 2,2010-12-09 14:24:16
Case 1613,take in charge ticket,Value 15,2010-12-10 08:08:21
Case 1613,resolve ticket,Value 15,2010-12-10 13:22:10
Case 1613,closed,Value 5,2011-01-11 14:30:22
Case 1614,assign seriousness,Value 8,2011-03-10 15:05:06
Case 1614,take in charge ticket,Value 8,2011-03-11 09:25:32
Case 1614,resolve ticket,Value 8,2011-03-11 09:26:15
Case 1614,closed,Value 5,2011-04-23 14:10:41
Case 1615,assign seriousness,Value 1,2012-10-04 12:59:08
Case 1615,take in charge ticket,Value 3,2012-10-04 13:20:33
Case 1615,wait,Value 2,2012-10-18 09:42:52
Case 1615,resolve ticket,Value 1,2012-11-02 17:02:33
Case 1615,closed,Value 3,2012-11-17 17:02:45
Case 1616,assign seriousness,Value 8,2011-05-02 14:06:33
Case 1616,take in charge ticket,Value 8,2011-05-02 14:06:52
Case 1616,resolve ticket,Value 2,2011-05-02 15:36:46
Case 1616,closed,Value 5,2011-06-02 14:11:25
Case 1617,assign seriousness,Value 9,2010-07-29 07:05:23
Case 1617,wait,Value 6,2010-07-29 08:53:20
Case 1617,take in charge ticket,Value 12,2010-09-01 15:17:42
Case 1617,resolve ticket,Value 12,2010-09-01 15:17:50
Case 1617,closed,Value 5,2010-09-16 15:18:11
Case 1618,assign seriousness,Value 14,2010-10-19 15:01:02
Case 1618,take in charge ticket,Value 14,2010-10-19 15:01:34
Case 1618,resolve ticket,Value 14,2010-10-19 15:02:31
Case 1618,closed,Value 5,2010-12-03 16:10:16
Case 1619,assign seriousness,Value 1,2012-04-17 14:16:58
Case 1619,resolve ticket,Value 1,2012-04-17 14:17:35
Case 1619,resolve ticket,Value 1,2012-04-17 14:17:35
Case 1619,closed,Value 5,2012-06-02 14:20:16
Case 162,assign seriousness,Value 1,2011-10-04 15:47:43
Case 162,assign seriousness,Value 2,2011-10-07 13:29:10
Case 162,resolve ticket,Value 2,2011-10-07 13:30:00
Case 162,closed,Value 5,2011-11-17 16:52:25
Case 1620,assign seriousness,Value 9,2012-01-26 11:12:08
Case 1620,take in charge ticket,Value 13,2012-02-03 11:21:30
Case 1620,wait,Value 13,2012-02-06 10:56:05
Case 1620,take in charge ticket,Value 13,2012-02-06 15:16:39
Case 1620,wait,Value 13,2012-02-08 16:24:27
Case 1620,resolve ticket,Value 13,2012-02-10 08:17:49
Case 1620,closed,Value 5,2012-02-29 16:40:29
Case 1621,assign seriousness,Value 2,2010-01-15 17:11:07
Case 1621,take in charge ticket,Value 2,2010-02-01 08:16:26
Case 1621,resolve ticket,Value 2,2010-02-01 08:30:33
Case 1621,closed,Value 5,2010-02-16 08:30:55
Case 1622,assign seriousness,Value 8,2010-12-07 08:25:43
Case 1622,assign seriousness,Value 2,2010-12-10 15:20:42
Case 1622,take in charge ticket,Value 2,2010-12-10 15:21:07
Case 1622,wait,Value 14,2010-12-10 16:36:34
Case 1622,wait,Value 14,2010-12-10 16:36:35
Case 1622,take in charge ticket,Value 14,2010-12-10 16:36:55
Case 1622,resolve ticket,Value 14,2010-12-10 16:37:15
Case 1622,closed,Value 5,2011-01-08 08:30:24
Case 1623,assign seriousness,Value 1,2011-11-08 10:14:01
Case 1623,take in charge ticket,Value 13,2011-11-11 13:36:31
Case 1623,resolve ticket,Value 13,2011-11-22 09:16:03
Case 1623,closed,Value 5,2011-12-09 10:20:18
Case 1624,assign seriousness,Value 8,2011-06-06 12:44:47
Case 1624,take in charge ticket,Value 8,2011-06-06 12:45:47
Case 1624,resolve ticket,Value 13,2011-06-06 16:04:48
Case 1624,closed,Value 5,2011-07-07 12:50:31
Case 1625,assign seriousness,Value 2,2010-12-01 14:30:44
Case 1625,take in charge ticket,Value 2,2010-12-01 14:34:08
Case 1625,resolve ticket,Value 2,2010-12-02 10:37:02
Case 1625,closed,Value 5,2011-01-04 14:40:19
Case 1626,assign seriousness,Value 1,2012-01-11 14:23:12
Case 1626,take in charge ticket,Value 4,2012-01-12 11:41:57
Case 1626,resolve ticket,Value 2,2012-02-23 13:21:16
Case 1626,closed,Value 5,2012-03-09 13:21:27
Case 1627,assign seriousness,Value 9,2011-11-07 09:21:13
Case 1627,take in charge ticket,Value 9,2011-11-07 09:21:26
Case 1627,resolve ticket,Value 9,2011-11-07 10:16:59
Case 1627,closed,Value 5,2011-12-08 09:31:17
Case 1628,assign seriousness,Value 1,2011-11-24 10:01:02
Case 1628,take in charge ticket,Value 2,2011-11-24 11:43:58
Case 1628,resolve ticket,Value 2,2011-11-24 11:44:44
Case 1628,closed,Value 5,2011-12-29 10:10:35
Case 1629,assign seriousness,Value 8,2011-06-22 15:46:54
Case 1629,assign seriousness,Value 8,2011-06-22 15:47:09
Case 1629,assign seriousness,Value 2,2011-06-23 12:22:54
Case 1629,take in charge ticket,Value 2,2011-06-23 12:23:03
Case 1629,resolve ticket,Value 2,2011-06-23 12:24:05
Case 1629,closed,Value 5,2011-07-23 15:50:31
Case 163,assign seriousness,Value 9,2010-10-15 08:27:20
Case 163,take in charge ticket,Value 16,2010-10-27 11:46:30
Case 163,resolve ticket,Value 16,2010-10-27 11:46:36
Case 163,closed,Value 5,2010-11-28 09:30:57
Case 1630,assign seriousness,Value 4,2012-07-30 10:33:42
Case 1630,take in charge ticket,Value 2,2012-08-21 09:25:01
Case 1630,resolve ticket,Value 2,2012-08-21 15:57:01
Case 1630,closed,Value 3,2012-09-05 15:57:12
Case 1631,assign seriousness,Value 13,2011-01-12 11:12:07
Case 1631,take in charge ticket,Value 13,2011-01-12 11:16:28
Case 1631,resolve ticket,Value 13,2011-01-12 11:16:36
Case 1631,closed,Value 5,2011-02-25 11:20:41
Case 1632,assign seriousness,Value 1,2012-03-21 11:22:01
Case 1632,take in charge ticket,Value 17,2012-03-21 14:09:40
Case 1632,resolve ticket,Value 17,2012-03-22 14:31:13
Case 1632,closed,Value 5,2012-05-19 10:30:37
Case 1633,assign seriousness,Value 8,2010-12-21 10:46:50
Case 1633,assign seriousness,Value 2,2011-01-21 11:51:23
Case 1633,take in charge ticket,Value 2,2011-01-21 11:51:34
Case 1633,resolve ticket,Value 9,2011-01-25 11:12:27
Case 1633,closed,Value 5,2011-02-09 11:12:44
Case 1634,assign seriousness,Value 4,2012-03-21 13:39:08
Case 1634,take in charge ticket,Value 4,2012-03-21 13:39:35
Case 1634,resolve ticket,Value 4,2012-03-23 14:27:14
Case 1634,closed,Value 5,2012-05-13 12:40:38
Case 1635,assign seriousness,Value 8,2011-04-05 14:45:31
Case 1635,take in charge ticket,Value 8,2011-04-05 14:45:53
Case 1635,resolve ticket,Value 13,2011-04-05 15:24:05
Case 1635,closed,Value 5,2011-05-19 14:50:24
Case 1636,assign seriousness,Value 6,2010-12-21 09:42:52
Case 1636,take in charge ticket,Value 6,2010-12-21 10:09:58
Case 1636,resolve ticket,Value 6,2011-01-14 10:14:47
Case 1636,closed,Value 5,2011-02-13 10:15:14
Case 1637,assign seriousness,Value 1,2011-10-17 15:36:41
Case 1637,resolve ticket,Value 1,2011-10-21 09:08:24
Case 1637,resolve ticket,Value 1,2011-10-21 09:08:25
Case 1637,closed,Value 5,2011-12-02 16:40:21
Case 1638,assign seriousness,Value 8,2011-04-26 08:59:23
Case 1638,take in charge ticket,Value 8,2011-04-26 08:59:52
Case 1638,resolve ticket,Value 2,2011-04-26 09:17:44
Case 1638,closed,Value 5,2011-05-27 09:08:11
Case 1639,assign seriousness,Value 6,2011-09-27 12:32:02
Case 1639,take in charge ticket,Value 6,2011-09-27 12:35:01
Case 1639,resolve ticket,Value 6,2011-09-27 15:27:29
Case 1639,closed,Value 5,2011-11-10 13:40:17
Case 164,assign seriousness,Value 2,2010-09-28 12:44:01
Case 164,take in charge ticket,Value 2,2010-09-28 12:46:50
Case 164,resolve ticket,Value 2,2010-09-28 14:03:08
Case 164,closed,Value 5,2010-11-04 13:51:16
Case 1640,assign seriousness,Value 2,2010-11-26 16:59:03
Case 1640,take in charge ticket,Value 6,2010-11-29 08:01:18
Case 1640,resolve ticket,Value 6,2010-11-29 08:10:36
Case 1640,closed,Value 5,2011-01-12 17:01:20
Case 1641,assign seriousness,Value 13,2010-12-27 13:37:45
Case 1641,assign seriousness,Value 2,2011-01-21 11:58:41
Case 1641,assign seriousness,Value 2,2011-01-21 11:58:42
Case 1641,take in charge ticket,Value 2,2011-01-21 11:58:48
Case 1641,wait,Value 9,2011-01-25 08:34:05
Case 1641,take in charge ticket,Value 9,2011-01-26 09:06:15
Case 1641,resolve ticket,Value 9,2011-01-26 09:06:29
Case 1641,closed,Value 5,2011-02-10 09:06:44
Case 1642,assign seriousness,Value 1,2012-03-13 08:10:15
Case 1642,take in charge ticket,Value 9,2012-03-26 07:27:50
Case 1642,wait,Value 9,2012-03-26 07:57:24
Case 1642,resolve ticket,Value 9,2012-03-30 13:59:03
Case 1642,closed,Value 5,2012-04-19 13:20:34
Case 1643,assign seriousness,Value 9,2011-08-19 07:17:30
Case 1643,wait,Value 9,2011-08-19 07:31:26
Case 1643,resolve ticket,Value 9,2011-08-26 14:37:31
Case 1643,closed,Value 5,2011-09-24 14:40:31
Case 1644,assign seriousness,Value 1,2011-09-29 07:59:41
Case 1644,take in charge ticket,Value 1,2011-09-29 08:22:43
Case 1644,resolve ticket,Value 1,2011-09-29 08:25:53
Case 1644,closed,Value 5,2011-11-16 09:00:27
Case 1645,assign seriousness,Value 1,2011-12-21 10:27:32
Case 1645,resolve ticket,Value 1,2011-12-21 11:48:10
Case 1645,closed,Value 5,2012-01-21 10:30:30
Case 1646,assign seriousness,Value 1,2011-12-30 08:07:03
Case 1646,take in charge ticket,Value 1,2011-12-30 08:07:26
Case 1646,resolve ticket,Value 13,2012-01-03 09:15:43
Case 1646,closed,Value 5,2012-02-05 08:11:30
Case 1647,assign seriousness,Value 13,2011-08-30 14:58:26
Case 1647,take in charge ticket,Value 2,2011-09-02 15:21:06
Case 1647,resolve ticket,Value 2,2011-09-02 15:24:11
Case 1647,closed,Value 5,2011-10-13 15:00:49
Case 1648,assign seriousness,Value 8,2011-04-28 15:16:01
Case 1648,take in charge ticket,Value 16,2011-04-29 16:48:49
Case 1648,resolve ticket,Value 16,2011-04-29 16:54:49
Case 1648,closed,Value 5,2011-06-19 15:21:09
Case 1649,assign seriousness,Value 1,2012-05-09 10:56:38
Case 1649,take in charge ticket,Value 4,2012-05-09 13:23:25
Case 1649,resolve ticket,Value 4,2012-05-09 14:29:37
Case 1649,closed,Value 5,2012-06-09 11:00:24
Case 165,assign seriousness,Value 2,2012-01-13 16:36:23
Case 165,resolve ticket,Value 2,2012-01-13 16:36:49
Case 165,closed,Value 5,2012-02-26 16:40:38
Case 1650,assign seriousness,Value 9,2013-03-08 17:21:08
Case 1650,create sw anomaly,Value 2,2013-03-25 11:13:38
Case 1650,create sw anomaly,Value 2,2013-03-25 11:13:38
Case 1650,resolve sw anomaly,Value 22,2013-04-03 14:54:23
Case 1650,resolve sw anomaly,Value 22,2013-04-03 14:54:26
Case 1650,require upgrade,Value 2,2013-04-03 14:57:50
Case 1650,resolve ticket,Value 1,2013-04-03 15:38:24
Case 1650,closed,Value 3,2013-04-18 15:38:44
Case 1651,assign seriousness,Value 8,2011-04-29 12:19:01
Case 1651,take in charge ticket,Value 8,2011-05-03 10:41:32
Case 1651,wait,Value 16,2011-05-09 12:33:54
Case 1651,resolve ticket,Value 12,2011-05-17 14:13:12
Case 1651,closed,Value 5,2011-06-01 14:13:23
Case 1652,assign seriousness,Value 16,2010-02-10 12:15:48
Case 1652,assign seriousness,Value 16,2010-02-24 11:20:45
Case 1652,take in charge ticket,Value 16,2010-02-24 11:25:31
Case 1652,resolve ticket,Value 2,2010-03-15 17:26:37
Case 1652,closed,Value 5,2010-03-30 16:26:59
Case 1653,assign seriousness,Value 13,2012-01-10 16:23:50
Case 1653,take in charge ticket,Value 1,2012-01-12 16:58:06
Case 1653,resolve ticket,Value 1,2012-01-17 15:46:20
Case 1653,closed,Value 5,2012-02-10 16:30:30
Case 1654,assign seriousness,Value 2,2010-06-08 10:37:21
Case 1654,take in charge ticket,Value 11,2010-06-09 07:17:23
Case 1654,resolve ticket,Value 11,2010-06-09 07:17:55
Case 1654,closed,Value 5,2010-07-22 10:40:38
Case 1655,assign seriousness,Value 1,2013-02-01 13:20:48
Case 1655,take in charge ticket,Value 2,2013-02-19 08:01:31
Case 1655,resolve ticket,Value 2,2013-02-19 10:13:25
Case 1655,closed,Value 3,2013-03-06 10:13:37
Case 1656,assign seriousness,Value 1,2011-09-26 14:01:17
Case 1656,resolve ticket,Value 1,2011-09-27 07:52:20
Case 1656,closed,Value 5,2011-11-11 15:10:19
Case 1657,assign seriousness,Value 6,2010-08-16 10:21:35
Case 1657,take in charge ticket,Value 6,2010-08-16 13:50:36
Case 1657,resolve ticket,Value 6,2010-08-24 08:31:09
Case 1657,closed,Value 5,2010-10-01 10:30:41
Case 1658,assign seriousness,Value 14,2013-11-14 16:09:38
Case 1658,take in charge ticket,Value 2,2013-11-22 08:01:34
Case 1658,require upgrade,Value 2,2013-11-22 16:08:02
Case 1658,resolve ticket,Value 1,2013-12-02 10:59:42
Case 1658,closed,Value 3,2013-12-17 11:00:00
Case 1659,assign seriousness,Value 2,2011-07-04 13:05:45
Case 1659,assign seriousness,Value 2,2011-07-07 07:59:05
Case 1659,take in charge ticket,Value 7,2011-07-07 14:51:49
Case 1659,resolve ticket,Value 7,2011-07-07 14:51:57
Case 1659,closed,Value 5,2011-08-04 13:10:38
Case 166,assign seriousness,Value 2,2010-02-11 08:48:50
Case 166,take in charge ticket,Value 2,2010-02-23 16:56:28
Case 166,resolve ticket,Value 2,2010-02-23 16:56:36
Case 166,closed,Value 5,2010-03-27 08:50:35
Case 1660,assign seriousness,Value 2,2012-06-08 07:44:12
Case 1660,take in charge ticket,Value 13,2012-06-08 10:32:26
Case 1660,resolve ticket,Value 13,2012-06-12 13:43:04
Case 1660,closed,Value 5,2012-07-11 07:50:27
Case 1661,assign seriousness,Value 1,2011-09-20 07:58:32
Case 1661,take in charge ticket,Value 2,2011-09-20 08:39:20
Case 1661,resolve ticket,Value 2,2011-09-20 12:09:39
Case 1661,closed,Value 5,2011-10-21 08:00:28
Case 1662,assign seriousness,Value 2,2010-10-12 13:11:23
Case 1662,assign seriousness,Value 2,2010-10-12 13:11:40
Case 1662,take in charge ticket,Value 2,2010-10-12 13:11:51
Case 1662,resolve ticket,Value 12,2010-10-29 12:52:30
Case 1662,closed,Value 5,2010-11-13 13:52:45
Case 1663,assign seriousness,Value 1,2012-12-21 08:03:25
Case 1663,resolve ticket,Value 13,2013-01-08 14:27:44
Case 1663,closed,Value 3,2013-01-23 14:27:56
Case 1664,take in charge ticket,Value 1,2013-01-15 17:12:50
Case 1664,resolve ticket,Value 1,2013-02-19 08:39:08
Case 1664,closed,Value 3,2013-03-06 08:39:17
Case 1665,assign seriousness,Value 1,2012-03-06 16:55:53
Case 1665,take in charge ticket,Value 4,2012-03-06 17:04:43
Case 1665,resolve ticket,Value 4,2012-03-08 14:59:13
Case 1665,closed,Value 5,2012-04-06 16:00:22
Case 1666,assign seriousness,Value 1,2011-10-26 09:45:15
Case 1666,take in charge ticket,Value 2,2011-10-27 08:26:18
Case 1666,wait,Value 1,2011-10-27 09:51:09
Case 1666,resolve ticket,Value 1,2011-11-16 15:13:41
Case 1666,closed,Value 5,2011-12-08 15:10:15
Case 1667,assign seriousness,Value 8,2011-04-22 08:18:49
Case 1667,take in charge ticket,Value 8,2011-04-22 08:27:25
Case 1667,resolve ticket,Value 8,2011-04-22 08:27:46
Case 1667,closed,Value 5,2011-06-01 08:22:19
Case 1668,assign seriousness,Value 8,2011-04-06 10:33:43
Case 1668,take in charge ticket,Value 8,2011-04-06 10:35:17
Case 1668,resolve ticket,Value 8,2011-04-13 13:19:28
Case 1668,closed,Value 5,2011-05-28 13:19:52
Case 1669,assign seriousness,Value 4,2011-11-04 09:55:52
Case 1669,take in charge ticket,Value 4,2011-11-04 09:56:06
Case 1669,resolve ticket,Value 4,2011-11-07 10:33:29
Case 1669,closed,Value 5,2011-12-14 10:00:32
Case 167,assign seriousness,Value 1,2011-11-23 14:43:38
Case 167,take in charge ticket,Value 1,2011-11-25 10:12:19
Case 167,wait,Value 1,2011-11-25 14:01:18
Case 167,resolve ticket,Value 1,2011-11-28 09:25:00
Case 167,resolve ticket,Value 1,2011-11-28 09:25:02
Case 167,closed,Value 5,2011-12-27 10:10:16
Case 1670,assign seriousness,Value 19,2010-07-22 15:34:47
Case 1670,take in charge ticket,Value 11,2010-07-23 15:40:40
Case 1670,wait,Value 11,2010-07-23 15:44:43
Case 1670,take in charge ticket,Value 11,2010-07-27 14:46:11
Case 1670,resolve ticket,Value 11,2010-07-27 14:46:18
Case 1670,closed,Value 5,2010-08-24 15:40:36
Case 1671,assign seriousness,Value 4,2013-08-05 09:21:48
Case 1671,take in charge ticket,Value 2,2013-09-10 13:55:41
Case 1671,resolve ticket,Value 14,2013-09-12 07:44:26
Case 1671,closed,Value 3,2013-09-27 07:44:39
Case 1672,assign seriousness,Value 8,2011-05-10 09:29:13
Case 1672,take in charge ticket,Value 8,2011-05-10 09:57:43
Case 1672,wait,Value 2,2011-05-10 15:41:06
Case 1672,take in charge ticket,Value 2,2011-05-11 09:41:54
Case 1672,resolve ticket,Value 2,2011-05-11 09:42:05
Case 1672,closed,Value 5,2011-06-10 13:32:29
Case 1673,assign seriousness,Value 1,2012-04-11 09:39:07
Case 1673,take in charge ticket,Value 1,2012-04-11 09:39:24
Case 1673,resolve ticket,Value 1,2012-04-12 09:55:11
Case 1673,closed,Value 5,2012-05-18 09:40:25
Case 1674,assign seriousness,Value 1,2013-08-23 09:37:36
Case 1674,take in charge ticket,Value 9,2013-09-06 14:51:22
Case 1674,wait,Value 9,2013-09-10 07:11:01
Case 1674,resolve ticket,Value 9,2013-09-10 08:17:03
Case 1674,closed,Value 3,2013-09-25 08:17:16
Case 1675,assign seriousness,Value 14,2013-09-30 09:50:24
Case 1675,take in charge ticket,Value 9,2013-10-01 10:37:09
Case 1675,resolve ticket,Value 9,2013-10-16 09:49:47
Case 1675,closed,Value 3,2013-10-31 10:50:04
Case 1676,insert ticket,Value 11,2010-08-11 09:54:54
Case 1676,assign seriousness,Value 11,2010-08-11 09:57:09
Case 1676,take in charge ticket,Value 11,2010-08-11 09:57:17
Case 1676,resolve ticket,Value 11,2010-08-11 10:14:58
Case 1676,closed,Value 5,2010-09-11 10:00:21
Case 1677,assign seriousness,Value 1,2011-10-14 08:58:19
Case 1677,take in charge ticket,Value 1,2011-10-14 08:58:35
Case 1677,resolve ticket,Value 1,2011-10-14 14:13:40
Case 1677,closed,Value 5,2011-11-16 10:00:25
Case 1678,take in charge ticket,Value 1,2011-12-02 10:24:09
Case 1678,resolve ticket,Value 1,2011-12-02 15:50:42
Case 1678,closed,Value 5,2012-01-15 10:30:38
Case 1679,assign seriousness,Value 1,2013-04-09 15:51:06
Case 1679,take in charge ticket,Value 2,2013-04-15 08:11:40
Case 1679,wait,Value 4,2013-04-15 08:49:18
Case 1679,resolve ticket,Value 4,2013-05-02 09:59:58
Case 1679,closed,Value 3,2013-05-17 10:00:21
Case 168,assign seriousness,Value 1,2012-01-09 10:01:47
Case 168,take in charge ticket,Value 6,2012-01-09 11:20:28
Case 168,resolve ticket,Value 6,2012-01-09 11:21:29
Case 168,closed,Value 5,2012-02-22 10:10:48
Case 1680,assign seriousness,Value 1,2012-02-22 13:01:58
Case 1680,take in charge ticket,Value 2,2012-02-23 11:36:48
Case 1680,wait,Value 2,2012-03-13 14:54:41
Case 1680,resolve ticket,Value 2,2012-03-28 08:27:37
Case 1680,closed,Value 5,2012-04-12 08:27:49
Case 1681,assign seriousness,Value 1,2013-03-01 16:22:28
